Server starting at 2025-05-03 18:55:30.609956
Python version: 3.13.2 (main, Feb  4 2025, 14:51:09) [Clang 16.0.0 (clang-1600.0.26.6)]
Process ID: 6881
Current directory: /Users/ryankrammes/Kraft_AI (App)/DIY_Recipes

2025-05-03 18:55:30.612076 - Starting server
2025-05-03 18:55:30.612344 - Server started at http://localhost:6789
2025-05-03 18:55:30.612423 - Server started at http://127.0.0.1:6789
2025-05-03 18:55:30.612618 - Process ID: 6881
2025-05-03 18:55:30.612794 - Main thread waiting for server to run
2025-05-03 18:55:30.613077 - Server still running
2025-05-03 18:55:40.618011 - Server still running
2025-05-03 18:55:50.621475 - Server still running
2025-05-03 18:56:00.622402 - Server still running
2025-05-03 18:56:10.626803 - Server still running
2025-05-03 18:56:20.628953 - Server still running
2025-05-03 18:56:30.634382 - Server still running
2025-05-03 18:56:40.639759 - Server still running
2025-05-03 18:56:50.642892 - Server still running
2025-05-03 18:57:00.644773 - Server still running
2025-05-03 18:57:10.650786 - Server still running
2025-05-03 18:57:20.652317 - Server still running
2025-05-03 18:57:30.656176 - Server still running
2025-05-03 18:57:39.407150 - GET request received: /
2025-05-03 18:57:39.407420 - 127.0.0.1 - "GET / HTTP/1.1" 200 -
2025-05-03 18:57:40.661454 - Server still running
2025-05-03 18:57:50.662876 - Server still running
2025-05-03 18:58:00.667712 - Server still running
2025-05-03 18:58:10.673493 - Server still running
2025-05-03 18:58:20.676302 - Server still running
2025-05-03 18:58:30.680434 - Server still running
2025-05-03 18:58:40.684895 - Server still running
2025-05-03 18:58:50.687759 - Server still running
2025-05-03 18:59:00.692629 - Server still running
2025-05-03 18:59:10.695245 - Server still running
2025-05-03 18:59:20.699291 - Server still running
2025-05-03 18:59:30.705867 - Server still running
2025-05-03 18:59:40.707151 - Server still running
2025-05-03 18:59:50.712830 - Server still running
2025-05-03 19:00:00.713868 - Server still running
2025-05-03 19:00:10.719611 - Server still running
2025-05-03 19:00:20.721986 - Server still running
2025-05-03 19:00:30.727788 - Server still running
2025-05-03 19:00:40.734375 - Server still running
2025-05-03 19:00:50.740282 - Server still running
2025-05-03 19:01:00.741030 - Server still running
2025-05-03 19:01:10.747307 - Server still running
2025-05-03 19:01:20.750006 - Server still running
2025-05-03 19:01:30.754794 - Server still running
2025-05-03 19:01:40.758602 - Server still running
2025-05-03 19:01:50.763520 - Server still running
2025-05-03 19:02:00.766223 - Server still running
2025-05-03 19:02:10.771884 - Server still running
2025-05-03 19:02:20.777674 - Server still running
2025-05-03 19:02:30.781505 - Server still running
2025-05-03 19:02:40.786081 - Server still running
2025-05-03 19:02:50.792925 - Server still running
2025-05-03 19:03:00.797441 - Server still running
2025-05-03 19:03:10.802020 - Server still running
2025-05-03 19:03:20.805632 - Server still running
2025-05-03 19:03:30.810774 - Server still running
2025-05-03 19:03:40.811777 - Server still running
2025-05-03 19:03:50.817921 - Server still running
2025-05-03 19:04:00.820602 - Server still running
2025-05-03 19:04:10.825047 - Server still running
2025-05-03 19:04:20.829175 - Server still running
2025-05-03 19:04:30.833545 - Server still running
2025-05-03 19:04:40.839456 - Server still running
2025-05-03 19:04:50.842822 - Server still running
2025-05-03 19:05:00.845957 - Server still running
2025-05-03 19:05:10.851966 - Server still running
2025-05-03 19:05:20.852536 - Server still running
2025-05-03 19:05:30.853998 - Server still running
2025-05-03 19:05:40.858485 - Server still running
2025-05-03 19:05:50.864579 - Server still running
2025-05-03 19:06:00.869164 - Server still running
2025-05-03 19:06:10.873672 - Server still running
2025-05-03 19:06:20.877856 - Server still running
2025-05-03 19:06:30.883389 - Server still running
2025-05-03 19:06:40.887206 - Server still running
2025-05-03 19:06:50.892002 - Server still running
2025-05-03 19:07:00.892590 - Server still running
2025-05-03 19:07:10.896921 - Server still running
2025-05-03 19:07:20.900225 - Server still running
2025-05-03 19:07:30.904344 - Server still running
2025-05-03 19:07:40.908556 - Server still running
2025-05-03 19:07:50.910497 - Server still running
2025-05-03 19:08:00.916372 - Server still running
2025-05-03 19:08:10.921895 - Server still running
2025-05-03 19:08:20.924307 - Server still running
2025-05-03 19:08:30.929847 - Server still running
2025-05-03 19:08:40.935170 - Server still running
2025-05-03 19:08:50.938518 - Server still running
2025-05-03 19:09:00.943007 - Server still running
2025-05-03 19:09:10.947779 - Server still running
2025-05-03 19:09:20.953843 - Server still running
2025-05-03 19:09:30.954698 - Server still running
2025-05-03 19:09:40.957716 - Server still running
2025-05-03 19:09:50.961086 - Server still running
2025-05-03 19:10:00.961569 - Server still running
2025-05-03 19:10:10.967122 - Server still running
2025-05-03 19:10:20.972526 - Server still running
2025-05-03 19:10:30.977986 - Server still running
2025-05-03 19:10:40.981040 - Server still running
2025-05-03 19:10:50.983727 - Server still running
2025-05-03 19:11:00.989133 - Server still running
2025-05-03 19:11:10.995243 - Server still running
2025-05-03 19:11:21.000905 - Server still running
2025-05-03 19:11:31.006366 - Server still running
2025-05-03 19:11:41.011617 - Server still running
2025-05-03 19:11:51.014679 - Server still running
2025-05-03 19:12:01.018431 - Server still running
2025-05-03 19:12:11.020167 - Server still running
2025-05-03 19:12:21.025871 - Server still running
2025-05-03 19:12:31.028892 - Server still running
2025-05-03 19:12:41.030456 - Server still running
2025-05-03 19:12:51.036290 - Server still running
2025-05-03 19:13:01.037145 - Server still running
2025-05-03 19:13:11.042602 - Server still running
2025-05-03 19:13:21.044770 - Server still running
2025-05-03 19:13:31.045672 - Server still running
2025-05-03 19:13:41.046933 - Server still running
2025-05-03 19:13:51.049750 - Server still running
2025-05-03 19:14:01.055372 - Server still running
2025-05-03 19:14:11.060938 - Server still running
